,adaptation,avg_isi,electrode_0_pa,f_i_curve_slope,fast_trough_t_long_square,fast_trough_t_ramp,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,input_resistance_mohm,latency,peak_t_long_square,peak_t_ramp,peak_t_short_square,peak_v_long_square,peak_v_ramp,peak_v_short_square,ri,sag,seal_gohm,slow_trough_t_long_square,slow_trough_t_ramp,slow_trough_t_short_square,slow_trough_v_long_square,slow_trough_v_ramp,slow_trough_v_short_square,tau,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_t_long_square,threshold_t_ramp,threshold_t_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,trough_t_long_square,trough_t_ramp,trough_t_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vm_for_sag,vrest
36,0.18927075756175804,62.0800000000001,15.3500007843421,0.117708333333333,1.06722,4.44686,1.02553,-47.5000038146973,-47.5312538146973,-50.6640653610229,330.295936,0.02268,1.06366,4.44313,1.0236,35.4375038146973,36.4375,37.4843759536743,313.437610864639,0.08627799898386,1.784064512,1.084025,4.45374,1.592888,-41.59375,-51.5000038146973,-71.1,29.2532543439938,90.0,85.5625,390.0,1.06308,4.44247,1.02313,-33.28125,-31.0937509536743,-42.2812509536743,1.07506,4.45374,1.10616,-50.15625,-51.5000038146973,-61.6328144073486,2.91072681093929,2.75144123477008,2.77287766407483,-95.3125076293945,-60.2382621765137
35,0.0703541969917492,20.61,-83.6749905475109,0.0499999999999999,1.05246,3.90646666666667,1.02492,-56.3437538146973,-50.9687525431315,-58.5885442097982,312.813216,0.01518,1.05098,3.90458666666667,1.02339,20.4687519073486,10.6666669845581,19.9583336512248,468.749821186066,0.106826350092888,1.267424,1.084025,5.632290499999998,1.592888,-41.59375,-50.41875317891438,-71.1,40.0503881502587,70.0,72.125,300.0,1.05042,3.90342,1.02288333333333,-37.7500038146973,-27.8125012715658,-40.4375,1.05264,3.90652666666667,1.65107333333333,-56.5312538146973,-51.0104192097982,-62.0885461171468,1.64121872529612,0.892532219570151,1.67179300461689,-106.25,-61.5966415405273
23,0.18927075756175804,61.145,11.6993758431105,0.0877221248241341,1.089335,8.97773,1.025553,-48.5312538146973,-48.1458358764648,-53.7437522888184,135.84384,0.0284950000000002,1.08618,8.97392166666667,1.02358,23.5000019073486,20.3645846048991,25.9437511444092,121.634647250175,0.0059941024519503,2.127970944,1.084025,8.99274,1.592888,-41.59375,-52.5625025431315,-71.1,25.7900116130005,200.0,198.83332824707,830.0,1.085565,8.97318333333333,1.023103,-36.59375,-32.3750012715658,-47.6625015258789,1.10257,8.99274,1.446244,-52.5312538146973,-52.5625025431315,-68.3312515258789,2.44621614282071,1.92411115423784,2.87220621419574,-80.5312576293945,-68.0202789306641
41,0.18927075756175804,45.057,-8.84999972611267,0.119031002963748,1.06096,7.21735333333333,1.025296,-46.75,-48.1458346048991,-49.7562530517578,196.259984,0.0238400000000001,1.05854,7.2139,1.023524,36.0,36.8958346048991,36.6500007629395,123.437538743019,0.0115554910153151,1.240691968,1.084025,7.23578,1.592888,-41.59375,-54.7395858764648,-71.1,18.4119297008786,250.0,154.833333333333,1120.0,1.05804,7.21332,1.023032,-39.2812538146973,-36.9062525431315,-49.1500030517578,1.0761,7.23578,1.680144,-50.5312538146973,-54.7395858764648,-77.7750030517578,3.23406278833943,3.15655625715436,3.05982562084971,-90.5625076293945,-77.597541809082
10,0.18927075756175804,57.151000000000025,-40.6575016709265,0.129997309118334,1.035295,8.761275,1.0255125,-51.9687538146973,-46.2916679382324,-52.9322935740153,281.624384,0.00522,1.033185,8.75925333333334,1.02347083333333,31.0,26.9687519073486,34.2708339691162,100.000038743019,0.0120830200612545,1.284698496,1.084025,8.775585,1.592888,-41.59375,-47.8958371480306,-71.1,8.48381375018388,140.0,193.416661580404,260.0,1.032705,8.75859666666667,1.02302833333333,-42.65625,-34.2604179382324,-46.442710240682,1.035605,8.775585,1.049555,-52.25,-47.8958371480306,-59.4322948455811,2.74629636436668,1.9913458199981,3.00036067777369,-68.9375,-57.3023872375488
22,0.18927075756175804,54.697999999999944,12.0081253968118,0.0096976396429452,1.085745,12.5043966666667,1.025561,-43.4375038146973,-43.9791666666667,-52.4875022888184,155.913216,0.032295,1.08349,12.5024933333333,1.02359,24.25,23.8645846048991,33.3000007629395,154.218822717667,0.161058440804482,2.37448448,1.084025,12.52623,1.592888,-41.59375,-47.6250025431315,-71.1,14.9306682668672,250.0,287.041666666667,770.0,1.08286,12.5016866666667,1.023101,-29.7187519073486,-29.7916679382324,-49.6375030517578,1.11689,12.52623,1.108791,-48.5,-47.6250025431315,-79.1250045776367,2.18187656817134,1.78913559659463,2.62599484640037,-94.6875076293945,-77.5825424194336
18,0.18927075756175804,107.372,49.3356258624011,0.0348101195836744,1.109405,11.29304,1.02525833333333,-42.0,-41.71875,-48.3229179382324,93.04396,0.0621150000000001,1.106385,11.29091,1.02349833333333,40.4062538146973,48.7812538146973,45.7083358764648,60.6970116496086,0.0136078074574471,1.8188576,1.084025,11.3288975,1.592888,-41.59375,-51.5781269073486,-71.1,13.502059264075,490.0,256.749992370605,1829.99975585938,1.105965,11.2905325,1.02306333333333,-32.46875,-33.7968769073486,-50.5729192097982,1.134905,11.3288975,1.73348666666667,-49.125,-51.5781269073486,-79.1145909627279,3.92193249325459,3.86543960084818,3.13574840757007,-86.0625076293945,-79.3246078491211
47,0.18927075756175804,54.697999999999944,-45.9900000027158,0.0559447990496678,1.10636,7.67016,1.02514666666667,-50.6875038146973,-48.8750038146973,-55.4895858764648,215.53824,0.0308600000000001,1.10342,7.66732,1.02324666666667,26.6562519073486,24.0,26.7395846048991,119.79179084301,0.0609564147889614,1.199606528,1.084025,7.68336,1.592888,-41.59375,-53.53125,-71.1,14.8855460793383,170.0,166.125,800.0,1.10282,7.66666,1.02276666666667,-42.9687538146973,-39.15625,-51.4687512715658,1.12488,7.68336,1.88285333333333,-56.46875,-53.53125,-77.687505086263,2.69175890077925,2.44915352466837,2.84238775536189,-88.6562576293945,-76.9605560302734
20,0.18927075756175804,49.9050000000001,7.18249982059604,0.0108209012499568,1.09303,8.83306333333334,1.02612083333333,-48.7500038146973,-49.0937512715658,-52.9635448455811,146.635216,0.03722,1.0902,8.82983,1.02349166666667,31.0937519073486,33.0416692097982,43.7135442097982,101.562574505806,0.058520570397377,1.647571584,1.084025,8.85829,1.592888,-41.59375,-54.5625025431315,-71.1,15.3165200562709,330.0,195.249994913737,1280.0,1.08966,8.8293,1.02306666666667,-33.8125,-33.5625012715658,-52.2239608764648,1.10359,8.85829,1.1811975,-50.1875038146973,-54.5625025431315,-79.2135467529297,3.1546793315373,3.24481136911065,4.26434535453666,-88.875,-77.6154632568359
7,0.18927075756175804,61.77599999999997,3.90562495539148,-7.72008057733245e-19,1.0424,10.420175,1.0249825,-48.34375,-47.6562525431315,-51.8177115122477,114.172056,0.0136000000000001,1.040985,10.4187666666667,1.0233625,34.78125,33.239585240682,36.9166692097982,89.5832106471062,0.151859939098358,2.146193664,1.084025,10.4336416666667,1.592888,-41.59375,-53.2395871480306,-71.1,9.72155964069954,290.0,234.958323160807,850.0,1.04053,10.4182416666667,1.02294916666667,-40.53125,-32.1875025431315,-49.6197948455811,1.049805,10.4336416666667,1.43596416666667,-49.1875038146973,-53.2395871480306,-77.4166717529297,2.47128351691856,1.85751777084939,2.7292945654191,-87.75,-76.849479675293
42,0.18927075756175804,82.4199999999999,-3.68749995816042,0.0248205115878914,1.0844,7.02608,1.024925,-42.59375,-45.1145858764648,-45.5390644073486,124.773552,0.0393400000000002,1.08198,7.02416,1.02339,45.4062538146973,48.3229166666667,47.5312519073486,72.8124603629112,0.0679343938827515,1.169082752,1.084025,7.0447,1.592888,-41.59375,-51.0729204813639,-71.1,19.6771066758808,210.0,150.125,810.0,1.0816,7.02376666666667,1.023045,-38.4375,-38.3229179382324,-46.3359394073486,1.81436,7.0447,1.751315,-49.9062538146973,-51.0729204813639,-68.7109432220459,4.68232015385793,4.57989944669673,4.83158815402262,-80.1250076293945,-68.6368560791016
14,0.18927075756175804,107.372,0.0193749469322001,0.0142857216815558,1.14641,9.6322,1.02674125,-48.1562538146973,-48.8645858764648,-54.8437519073486,110.686928,0.0796300000000001,1.138785,9.62531833333333,1.023585,21.1562519073486,27.3750006357829,37.0859403610229,88.4374603629112,0.0902357399463654,2.624373248,1.084025,9.65709666666667,1.592888,-41.59375,-54.6041679382324,-71.1,18.8083276049914,410.0,215.125,1490.0,1.137935,9.62464,1.0230775,-32.8125038146973,-33.7187512715658,-54.2265653610229,1.17575,9.65709666666667,1.21939,-51.7500038146973,-54.6041679382324,-80.0000019073486,3.05740272851998,3.41259384097311,3.83523929276753,-89.0,-79.6286163330078
28,0.18927075756175804,54.697999999999944,-10.1924996220859,0.0625,1.07538,13.3709866666667,1.02536,-46.8750038146973,-42.4479192097982,-56.9765634536743,152.896544,0.03918,1.0733,13.36928,1.023565,30.1250019073486,25.4583333333333,37.3515644073486,139.062613248825,0.0669399872422218,2.437477632,1.084025,13.3924533333333,1.592888,-41.59375,-43.8020858764648,-71.1,14.9399484218265,270.0,308.75,810.0,1.0727,13.3684533333333,1.02312,-32.40625,-27.8645846048991,-46.9843778610229,1.07554,13.3924533333333,1.68115,-47.0937538146973,-43.8020858764648,-76.8671875,2.33591844967712,1.72239076128801,2.60469633925086,-92.5312576293945,-75.7961120605469
38,0.18927075756175804,107.372,36.4324959090112,0.0166383691121894,1.09508,7.99776,1.02534,-46.4687538146973,-45.7500038146973,-46.3593769073486,144.826192,0.04304,1.09312,7.99424,1.023575,33.3125038146973,34.625,33.9687509536743,134.218752384186,0.065320760011673,1.522279296,1.084025,8.01716,1.592888,-41.59375,-51.4687538146973,-71.1,27.5034252726715,130.0,174.375,1500.0,1.0926,7.9936,1.023115,-39.9062538146973,-37.2187538146973,-43.6484394073486,1.14446,8.01716,1.803295,-51.7812538146973,-51.4687538146973,-73.7187557220459,3.51821195149564,3.3770620700755,3.55522973704364,-89.7812576293945,-73.3952331542969
